frame,iou,dice,gt_px,pred_px,latency_s
00001,0.007541447634452083,0.014969999799329762,5452,44381,0.002466960984747857
00002,0.0008629058354007119,0.0017243237417825196,1993,16565,0.005029732012189925
00003,0.0,0.0,224,190,0.0006119980243965983
00004,0.03918868160761237,0.07542168674698795,2157,6143,0.001717692008242011
00005,0.0,0.0,880,1521,0.0012964270426891744
00006,0.001920507682030728,0.0038336528044003665,354,11645,0.003454502031672746
00007,0.0,0.0,2727,5914,0.0018520139856263995
00008,0.02668691690171404,0.05198647506339814,1561,12635,0.00217023299774155
00009,0.0,0.0,1511,2865,0.001215972995851189
00010,0.0,0.0,25,35120,0.00456965301418677
00011,0.0,0.0,120,0,0.00039273197762668133
00012,0.0,0.0,263,96832,0.001778064004611224
00013,0.0,0.0,10810,466,0.0006628690171055496
00014,0.0,0.0,2047,0,0.0004109499859623611
00015,0.0,0.0,2267,173,0.0006675139884464443
00016,0.0,0.0,8065,0,0.0004198990063741803
00018,0.0,0.0,2475,0,0.0004263820010237396
00019,0.003136981526664343,0.006254343293954135,5591,8799,0.0021010729833506048
00020,0.012883090943137132,0.025438455944883344,1795,79342,0.002856443985365331
00021,0.0,0.0,25,160497,0.0016581750242039561
00022,0.003011594639361542,0.006005104338687885,2384,4277,0.0018261370132677257
00023,0.0,0.0,756,4738,0.001120526052545756
00024,0.0,0.0,3563,674,0.001087034004740417
00025,0.0,0.0,499,0,0.0005693139974027872
00026,0.002567366857627838,0.005121584728365537,342,46909,0.000999412965029478
00027,0.0,0.0,1482,4094,0.0031009730300866067
00028,0.0003986549727874649,0.0007969922206628896,69,57648,0.005267285974696279
00029,0.0,0.0,294,114300,0.001680321991443634
00030,0.00728148340398535,0.014457693353755421,1098,68761,0.002768821024801582
00031,0.0,0.0,939,0,0.0004146699793636799
00032,0.0012304987914744012,0.002457973050081201,1139,112776,0.0018869019695557654
00033,0.0,0.0,135,106645,0.001851973996963352
00034,0.0,0.0,65,75051,0.0029576129745692015
00035,0.00796722057819258,0.015808491418247517,1572,2856,0.0013030970003455877
00036,0.0,0.0,10692,0,0.0004299749853089452
00037,0.027940868106521282,0.05436279259523688,5052,14557,0.0012017510016448796
00038,0.002394492666866208,0.00477754553598089,1804,1545,0.001178876031190157
00039,0.013161358252171624,0.025980774227071967,1748,2101,0.0014511250192299485
00040,0.0,0.0,2838,982,0.0009627060499042273
00041,0.0014696024338678904,0.002934891743686121,1189,37654,0.0014934270293451846
00042,0.006228800493370336,0.012380485413091445,8647,7669,0.0015868889749981463
00043,0.0,0.0,982,15188,0.00095356599194929
00045,0.0006144932625203002,0.001228231784883976,355,22442,0.0017298060120083392
00046,0.0,0.0,284,68972,0.001689733995590359
00047,0.002028981533526178,0.004049746206783325,3075,70016,0.0025325590395368636
00048,0.0015008387039816369,0.002997179125528914,1984,32048,0.002841378969606012
00049,0.0013025973000710509,0.0026018054953285763,866,49868,0.0022660139948129654
00050,0.0005407029137879243,0.0010808214242824547,1720,14934,0.002417609968688339
00051,0.00035860537213983296,0.000716953640852481,2680,83797,0.0018265820108354092
00052,0.00016190661226604496,0.00032376080551688413,3103,27784,0.0032103710109367967
00053,0.0,0.0,356,0,0.00038850901182740927
00054,0.0,0.0,57,58181,0.0016226120060309768
00055,0.0005172413793103448,0.001033947957952783,826,4977,0.0013580549857579172
00056,0.01186592918262185,0.023453560082227622,3940,81676,0.0022615909692831337
00057,0.0,0.0,9057,160,0.0006397330434992909
00058,0.0,0.0,1361,0,0.0004261349677108228
00059,0.000613707333802639,0.0012266618562280147,2177,53258,0.002741336007602513
00060,0.0,0.0,486,2186,0.0008310539997182786
00061,0.0021145374449339205,0.004220151222085458,532,16529,0.00182644696906209
00062,0.00017349063150589867,0.0003469210754553339,3571,19489,0.0021796500077471137
00063,0.012399666273483127,0.02449559533958511,8582,26608,0.001412477984558791
00064,0.006120434353405726,0.01216640502354788,2112,2984,0.0014567869948223233
00065,0.005096451536080019,0.010141218841815942,4600,16502,0.001421075954567641
00066,0.0,0.0,3318,4279,0.0015813809586688876
00067,0.0,0.0,825,0,0.00041472597513347864
00068,0.0,0.0,233,111337,0.0015037640114314854
00069,0.0,0.0,1142,0,0.0004110740264877677
00070,3.2539372640895484e-05,6.507662772915107e-05,143,61323,0.0036693020374514163
00071,0.0,0.0,2978,5697,0.0014192069647833705
00072,0.0,0.0,233,49791,0.0029385240050032735
00073,0.06422628951747088,0.1207004377736085,777,2421,0.0013833489501848817
00074,0.0,0.0,2663,59,0.0006772850174456835
00075,0.008557219459339316,0.016969229497809976,2868,33433,0.0017951929476112127
00076,0.0,0.0,437,51744,0.0009702789830043912
00077,0.0,0.0,3175,71736,0.0022544730454683304
00078,0.011184050571359105,0.022120702091849003,4035,79145,0.002333417010959238
00079,2.7113129532976345e-05,5.422478886222837e-05,42,73725,0.002541803987696767
00080,0.0,0.0,2121,780,0.0009307659929618239
00081,0.0,0.0,104,0,0.0004083070089109242
00082,0.0,0.0,791,0,0.0003895619884133339
00083,0.0,0.0,1699,1933,0.0009540760074742138
00084,0.0,0.0,750,0,0.00041130202589556575
00085,0.0,0.0,353,0,0.0004108540015295148
00086,0.009163244353182751,0.018160083424472874,2702,36615,0.0026356320013292134
00087,0.00789734484040137,0.01567093093523706,1911,95722,0.001848426996730268
00088,0.0,0.0,325,0,0.0004149670130573213
00089,0.0,0.0,72,77470,0.0027822480187751353
00090,0.000545121165568165,0.0010896483407627539,603,19587,0.004402435035444796
00091,0.0005974001147008221,0.001194086881761517,76,41797,0.002406224957667291
00092,0.0,0.0,1814,6066,0.0019136169576086104
00093,0.004209418574059458,0.008383547288446425,1431,2386,0.0012420790153555572
00094,0.0,0.0,975,24,0.0006331229815259576
00095,0.00013913285448442583,0.0002782269984523623,930,56577,0.001738270977512002
00096,0.0006187608283144955,0.001236756400214371,3619,20638,0.003086852957494557
00097,0.0,0.0,480,0,0.0003829349880106747
00098,0.0,0.0,20,0,0.00041217595571652055
00099,0.00016735468035256051,0.0003346533548998829,9665,62051,0.0017449260340072215
00100,0.0009215133882730839,0.0018413299663299664,2765,35251,0.0014508470194414258
00102,0.012000708528916836,0.023716798669758895,12465,10388,0.0012158150202594697
00103,0.00494874513962531,0.009848751319029195,4635,3894,0.0018754139891825616
00104,0.0,0.0,350,20679,0.0024394780048169196
