frame,iou,dice,gt_px,pred_px,latency_s
00529,0.0,0.0,10437,0,0.1812017799820751
00530,0.0,0.0,899,0,0.004431614011991769
00531,0.0,0.0,0,79,0.004099062003660947
00532,0.05980603448275862,0.1128622267412303,1666,301,0.00394099298864603
00533,0.09377483443708609,0.17147008961007507,3502,627,0.003933280007913709
00534,0.0,0.0,8756,0,0.00399396097054705
00535,0.6123995407577497,0.7596126459698092,3457,3565,0.003960511006880552
00536,0.0,0.0,1048,72,0.003919675014913082
00537,0.23284710967044842,0.37773882559158634,792,1490,0.004040197993163019
00538,0.0,0.0,22,0,0.003875037014950067
00539,0.3022295623451693,0.4641724793912492,941,636,0.003929240978322923
00540,0.6562334217506631,0.7924407431133889,3076,3168,0.003886320977471769
00541,0.0011895321173671688,0.002376237623762376,2325,200,0.0038749449886381626
00542,0.0,0.0,871,0,0.0038639760459773242
00543,0.10424710424710425,0.1888111888111888,748,396,0.003826117026619613
00544,0.294478527607362,0.4549763033175355,744,1577,0.0038212279905565083
00545,0.0,0.0,474,261,0.0038365740329027176
00546,0.0,0.0,514,0,0.003922115953173488
00547,0.0,0.0,375,1455,0.003930655017029494
00548,0.0,0.0,801,45,0.0038584310095757246
00549,0.0,0.0,2453,8,0.0037681249668821692
00550,0.4488032856535901,0.6195503421309873,5295,4935,0.003929406986571848
00551,0.22268907563025211,0.3642611683848797,303,279,0.0038337670266628265
00552,0.0,0.0,2167,0,0.0038303739856928587
00553,0.0,0.0,769,0,0.0037938960012979805
00554,0.06173155737704918,0.11628468033775634,1994,2151,0.0038279160507954657
00555,0.5972379443060901,0.7478384124734231,3471,3584,0.003768575028516352
00556,0.08305425318151373,0.1533704390847248,882,735,0.0038150500040501356
00557,0.0,0.0,35,385,0.003719625005032867
00558,0.40726172465960664,0.5788002580090303,2134,2517,0.003896500973496586
00559,0.1426056338028169,0.24961479198767333,237,412,0.003855519986245781
00560,0.0,0.0,630,0,0.003774085023906082
00561,0.0,0.0,534,0,0.0038295109989121556
00562,0.0,0.0,0,659,0.003761397034395486
00563,0.032654629273914715,0.06324404761904762,2193,495,0.0038341680192388594
00564,0.0,0.0,143,0,0.0038588710012845695
00565,0.07723911257189811,0.14340198321891687,1595,1027,0.0037455239798873663
00566,0.17838541666666666,0.3027624309392265,12982,5118,0.004036821017507464
00567,0.2839506172839506,0.4423076923076923,180,236,0.003714261983986944
00568,0.19328859060402684,0.32395950506186727,4156,4734,0.0038669119821861386
00569,0.31929347826086957,0.4840370751802266,1016,1897,0.0038640020065940917
00570,0.0,0.0,220,0,0.0038473220192827284
00571,0.12133072407045009,0.2164048865619546,119,454,0.0037843729951418936
00572,0.0691109669046074,0.1292867981790592,2103,1192,0.0038175449590198696
00573,0.07869391590321823,0.14590592334494773,1964,2628,0.0037308039609342813
00574,0.0,0.0,614,755,0.003785739012528211
00575,0.0,0.0,0,444,0.0037493930431082845
00576,0.08533710513908534,0.157254561251086,1167,1135,0.0037430389784276485
00577,0.0,0.0,499,0,0.0037571450229734182
00578,0.008394259409694016,0.01664876476906552,3476,248,0.003744426998309791
00579,0.05343511450381679,0.10144927536231885,250,26,0.003751704003661871
00580,0.12905375388716125,0.22860515443635648,2173,2910,0.0037427929928526282
00581,0.13772954924874792,0.2421129860601614,467,896,0.0037043740157969296
00582,0.0,0.0,22,53,0.0037468320224434137
00583,0.025818639798488665,0.05033763044812769,1728,1530,0.00379161600722
00584,0.01716321243523316,0.03374721426297358,1152,1989,0.003731650998815894
00585,0.442002442002442,0.6130397967823878,1763,1780,0.003704891016241163
00586,0.2076274722523575,0.3438601340612259,5775,8696,0.0037501470069400966
00587,0.20259781403453192,0.3369336143308746,3299,4293,0.0037668970180675387
00588,0.07530120481927711,0.1400560224089636,262,95,0.0037880049785599113
00589,0.6543172990737974,0.7910420805490338,2858,2679,0.003742251021321863
00590,0.0,0.0,122,0,0.0037371660000644624
00591,0.0,0.0,3891,0,0.0037456919671967626
00592,0.12057178371659416,0.21519689406544648,12316,7517,0.003784080035984516
00593,0.20454545454545456,0.33962264150943394,218,577,0.0037466679932549596
00594,0.1545030020013342,0.2676528371663007,2283,6370,0.0037430390366353095
00595,0.0,0.0,29,2954,0.0036682450445368886
00596,0.0,0.0,739,0,0.0037074650172144175
00597,0.10416666666666667,0.18867924528301888,553,189,0.003752636956050992
00598,0.3243697478991597,0.48984771573604063,7445,5951,0.0037175589823164046
00599,0.0,0.0,1069,0,0.003644098003860563
00600,0.19990843888295437,0.33320615541142057,3008,4855,0.0036490780184976757
00601,0.0,0.0,689,0,0.0036914790398441255
00602,0.0,0.0,463,67,0.0036656750016845763
00603,0.0,0.0,1040,501,0.0036464990116655827
00604,0.0,0.0,98,0,0.003647967998404056
00605,0.0,0.0,535,535,0.003635825007222593
00606,0.07690775054791792,0.14283071230342276,4936,469,0.0036467190366238356
00607,0.03721781574130567,0.07176470588235294,1874,1526,0.0036636940203607082
00608,0.13453299057412169,0.23716012084592145,1290,2682,0.003653478983324021
00609,0.14142447810069586,0.24780347857270935,4220,1357,0.0036456439993344247
00610,0.333495855680156,0.5001828153564899,4156,4049,0.0036550950026139617
00611,0.18580014260975858,0.3133751395928185,3885,7756,0.0036410450120456517
00612,0.0,0.0,4140,0,0.003664933959953487
00613,0.0,0.0,22,1617,0.003697755979374051
00614,0.0,0.0,20,0,0.0036993040121160448
00615,0.2771717171717172,0.4340398608035432,2050,1111,0.003664687043055892
00616,0.5818337617823479,0.7356446370530878,3116,4268,0.003669393016025424
00617,0.6857825567502986,0.813607370659107,1837,2396,0.0036967030027881265
00618,0.0,0.0,702,135,0.0037503449711948633
00619,0.02350597609561753,0.045932269365511876,1965,604,0.003686371026560664
00620,0.0,0.0,599,0,0.0037862560129724443
00621,0.13462532299741603,0.23730357549533135,2270,2121,0.0036715129972435534
00622,0.015687480775146107,0.030890369473046637,1905,1397,0.0037260769749991596
