frame,iou,dice,gt_px,pred_px,latency_s
00001,0.011569116252940556,0.022873605109248366,5452,52169,0.42284306400688365
00002,0.0007410313412667277,0.0014809652408746406,1993,20965,0.4265140960342251
00003,0.0,0.0,224,332,0.42564257100457326
00004,0.044318305861805476,0.08487509146022787,2157,7410,0.42229204502655193
00005,0.0,0.0,880,1438,0.4092917310190387
00006,0.003734312825221916,0.007440839229080264,354,16042,0.42396719701355323
00007,0.0,0.0,2727,7353,0.4115182470413856
00008,0.024606696248487294,0.048031496062992125,1561,16219,0.4185175060410984
00009,0.0,0.0,1511,3541,0.39797183097107336
00010,0.0,0.0,25,41162,0.44823172700125724
00011,0.0,0.0,120,0,0.41176757600624114
00012,0.0,0.0,263,119903,0.42797716800123453
00013,0.0,0.0,10810,850,0.40949390101013705
00014,0.0,0.0,2047,0,0.40994954900816083
00015,0.0,0.0,2267,251,0.4084543549688533
00016,0.0,0.0,8065,0,0.3895274039823562
00018,0.0,0.0,2475,0,0.40584971895441413
00019,0.0021191571809154757,0.004229351700803577,5591,10960,0.4073245649924502
00020,0.012696736030421464,0.025075100133511347,1795,94077,0.4345162789686583
00021,0.00012197859031782742,0.00024392742671200464,25,204954,0.4215316000045277
00022,0.002044989775051125,0.004081632653061225,2384,6436,0.43683881004108116
00023,0.0,0.0,756,6110,0.42721190594602376
00024,0.0,0.0,3563,1073,0.4162714589620009
00025,0.0,0.0,499,0,0.40676897403318435
00026,0.004157252598282874,0.008280082800828007,342,55213,0.41649937798501924
00027,0.0,0.0,1482,5113,0.4125202459981665
00028,0.0005068566440458423,0.0010131997410711773,69,70993,0.44335775199579075
00029,6.746545768566494e-05,0.0001349218128094769,294,147940,0.4008815059787594
00030,0.01047560789111485,0.02073401437760121,1098,78192,0.42911593802273273
00031,0.0,0.0,939,0,0.40162800502730533
00032,0.0038728156580088617,0.007715749639998661,1139,148166,0.41499212896451354
00033,0.0,0.0,135,129727,0.4224843740230426
00034,0.00012975676504588672,0.0002594798608244383,65,84720,0.43053698900621384
00035,0.004578563995837669,0.009115392583385125,1572,3255,0.4086584480246529
00036,0.0,0.0,10692,0,0.41262669500429183
00037,0.026103286384976526,0.05087847730600293,5052,16804,0.4126005760044791
00038,0.0,0.0,1804,1863,0.41045736300293356
00039,0.012512030798845043,0.024714828897338403,1748,2460,0.4093522920156829
00040,0.0,0.0,2838,1362,0.4130182479857467
00041,0.002978614478858818,0.005939537365722373,1189,41912,0.47429870296036825
00042,0.007744219493306782,0.015369414864419804,8647,9571,0.4201517690089531
00043,0.0,0.0,982,16765,0.409943895007018
00045,0.00034848062447727905,0.0006967184560719013,355,28351,0.42229321697959676
00046,0.0,0.0,284,76977,0.44112975301686674
00047,0.0035990137767442946,0.007172214654138577,3075,82812,0.4341975150164217
00048,0.0025273191161604004,0.005041895752803054,1984,39667,0.42490351799642667
00049,0.00045263700073358413,0.000904864426347156,866,63232,0.4233274029684253
