frame,iou,dice,gt_px,pred_px,latency_s
00001,0.5354696673189824,0.6974669428070734,5452,7102,0.3951733610010706
00002,0.32880733944954127,0.4948909141121237,1993,1628,0.3955067230272107
00003,0.10980392156862745,0.1978798586572438,224,59,0.408856930967886
00004,0.5925437149455626,0.7441475036254402,2157,2670,0.3895059410133399
00005,0.49648162627052383,0.6635318704284221,880,1034,0.3883223999873735
00006,0.36,0.5294117647058824,354,598,0.41214879701146856
00007,0.49073818081282833,0.6583827893175074,2727,2665,0.3980218129581772
00008,0.6532492725509215,0.7902610736286301,1561,1848,0.3966473850305192
00009,0.4182760244936411,0.589837263367652,1511,1500,0.40524156199535355
00010,0.5714285714285714,0.7272727272727273,25,30,0.40628428797936067
00011,0.0,0.0,120,0,0.39662974496604875
00012,0.2746478873239437,0.430939226519337,263,99,0.40973455301718786
00013,0.4632560156080642,0.6331851851851852,10810,9440,0.4155367719940841
00014,0.1832312764955252,0.30971337579617836,2047,465,0.3844974570092745
00015,0.4611581920903955,0.6312228129531174,2267,3940,0.4063858019653708
00016,0.54379109882779,0.7044879313537873,8065,8134,0.3979348560096696
00018,0.48764769065520946,0.6555956678700361,2475,1680,0.40815954498248175
00019,0.42948717948717946,0.600896860986547,5591,8458,0.39820176095236093
00020,0.7040951122853368,0.8263565891472868,1795,2075,0.3913619589875452
00021,0.0,0.0,25,0,0.4063844859483652
00022,0.4086629001883239,0.5802139037433155,2384,1356,0.4048694960074499
00023,0.25609756097560976,0.4077669902912621,756,377,0.3974198960349895
00024,0.4138060401425624,0.585378797930211,3563,3974,0.4078724900027737
00025,0.0,0.0,499,0,0.40052184398518875
00026,0.27312775330396477,0.4290657439446367,342,236,0.40427579695824534
00027,0.6327289632728963,0.7750569476082004,1482,2030,0.39031334698665887
00028,0.0,0.0,69,0,0.39029489702079445
00029,0.06583072100313479,0.12352941176470589,294,46,0.40435080201132223
00030,0.3120184899845917,0.47563123899001764,1098,605,0.4075776389800012
00031,0.18086283185840707,0.3063231850117096,939,1196,0.4041141250054352
00032,0.3907563025210084,0.5619335347432024,1139,1178,0.4036381740006618
