frame,iou,dice,gt_px,pred_px,latency_s
00001,0.0026785953446012913,0.005342879277642721,5452,31981,0.3043098929920234
00002,0.0,0.0,1993,66,0.2969151519937441
00003,0.0,0.0,224,5,0.11176218098262325
00004,0.005303957568339453,0.010551948051948052,2157,307,0.2893060559872538
00005,0.0,0.0,880,7,0.19659568299539387
00006,0.0,0.0,354,961,0.28969426499679685
00007,0.0,0.0,2727,1563,0.2871041289763525
00008,0.0,0.0,1561,3265,0.1659313270356506
00009,0.0,0.0,1511,43,0.21966259402688593
00010,0.0,0.0,25,4014,0.2999013710068539
00011,0.0,0.0,120,0,0.003936519962735474
00012,0.0,0.0,263,61264,0.2918550710310228
00013,0.0,0.0,10810,97,0.202920114970766
00014,0.0,0.0,2047,0,0.003979708009865135
00015,0.0,0.0,2267,63,0.08491901599336416
00016,0.0,0.0,8065,0,0.003858375013805926
00018,0.0,0.0,2475,0,0.003385849006008357
00019,0.0,0.0,5591,1024,0.2988673430518247
00020,0.004551251044369201,0.009061262010549586,1795,43894,0.29405783204128966
00021,0.0,0.0,25,115869,0.28763246902963147
00022,0.0,0.0,2384,644,0.157195040024817
00023,0.0,0.0,756,214,0.27964001102373004
00024,0.0,0.0,3563,9,0.18229022301966324
00025,0.0,0.0,499,0,0.0038962960243225098
00026,0.0006533101045296168,0.0013057671381936887,342,36418,0.29333278496051207
00027,0.0,0.0,1482,311,0.12437137903179973
00028,0.0020423869287236563,0.004076448172983192,69,33784,0.29141348402481526
00029,0.0,0.0,294,96035,0.2942100109648891
00030,0.01371368501529052,0.02705632806976196,1098,41332,0.29993024904979393
00031,0.0,0.0,939,0,0.003803448984399438
00032,0.000161831501041116,0.00032361063168795303,1139,91565,0.29798450897214934
00033,0.0,0.0,135,78844,0.294778531009797
00034,0.0,0.0,65,22040,0.29770129901589826
00035,0.0,0.0,1572,364,0.2935020480072126
00036,0.0,0.0,10692,0,0.0038123109843581915
00037,0.025324510053448716,0.04939803897232221,5052,3005,0.2933386960066855
00038,0.0,0.0,1804,102,0.29195846302900463
00039,0.0,0.0,1748,30,0.19999626697972417
00040,0.0,0.0,2838,20,0.26597631198819727
00041,0.0,0.0,1189,24450,0.30235630099195987
00042,0.0,0.0,8647,2015,0.2969491549883969
00043,0.0,0.0,982,2705,0.29085065197432414
00045,0.0,0.0,355,5869,0.30198178498540074
00046,0.0,0.0,284,47911,0.3065379540203139
00047,0.0,0.0,3075,26336,0.3020591939566657
00048,0.0,0.0,1984,10824,0.2874684809939936
00049,0.0,0.0,866,28523,0.3012598679633811
00050,0.0,0.0,1720,2770,0.2891932019847445
00051,0.0,0.0,2680,70911,0.295169307035394
00052,0.0,0.0,3103,6280,0.29485018900595605
00053,0.0,0.0,356,0,0.003461794985923916
00054,0.0,0.0,57,38469,0.2971475910162553
00055,0.0,0.0,826,178,0.2843925979686901
00056,0.0012528939125697944,0.002502652267348549,3940,69582,0.3099798309849575
00057,0.0,0.0,9057,53,0.0673551990184933
00058,0.0,0.0,1361,0,0.003871076973155141
00059,0.0,0.0,2177,29768,0.295699444017373
00060,0.0,0.0,486,728,0.3030924790073186
00061,0.0,0.0,532,7527,0.29789362801238894
00062,0.0,0.0,3571,6953,0.29116522800177336
00063,0.0,0.0,8582,24290,0.2984434420359321
00064,0.0,0.0,2112,10,0.22046036802930757
00065,0.003658081373646883,0.00728949717346028,4600,8844,0.29378239397192374
00066,0.0,0.0,3318,426,0.2932757950038649
00067,0.0,0.0,825,0,0.0038596129743382335
00068,0.0,0.0,233,75290,0.29746753099607304
00069,0.0,0.0,1142,0,0.004013602971099317
00070,0.0,0.0,143,14712,0.31038547802018
00071,0.0,0.0,2978,200,0.30164270900422707
00072,0.0,0.0,233,31003,0.2970615989761427
00073,0.0,0.0,777,86,0.29312286601634696
00074,0.0,0.0,2663,7,0.05259567900793627
00075,0.0,0.0,2868,16488,0.29104278300656006
00076,0.0,0.0,437,32032,0.28445908601861447
00077,0.0,0.0,3175,20865,0.2939007849781774
00078,0.005369596644796416,0.010681836138105397,4035,59250,0.3028949350118637
00079,0.0,0.0,42,51224,0.2963785519823432
00080,0.0,0.0,2121,99,0.06852257502032444
00081,0.0,0.0,104,0,0.003953514969907701
00082,0.0,0.0,791,0,0.0033575869747437537
00083,0.0,0.0,1699,373,0.09690016199601814
00084,0.0,0.0,750,0,0.0040841849986463785
00085,0.0,0.0,353,0,0.0033252869616262615
00086,0.0,0.0,2702,13500,0.2992763920337893
00087,0.0,0.0,1911,82858,0.29773164400830865
00088,0.0,0.0,325,0,0.00368248502491042
00089,0.0,0.0,72,43409,0.2902231000480242
00090,0.0,0.0,603,94,0.30239496304420754
00091,0.0029813274752863643,0.005944931163954944,76,25492,0.29792954900767654
00092,0.0,0.0,1814,317,0.2985466819955036
00093,0.0,0.0,1431,64,0.3019123899866827
00094,0.0,0.0,975,4,0.11256714700721204
00095,0.0,0.0,930,43581,0.30541565298335627
00096,0.0,0.0,3619,3985,0.28484920400660485
00097,0.0,0.0,480,0,0.003708445990923792
00098,0.0,0.0,20,0,0.004199436982162297
00099,0.0,0.0,9665,47737,0.3012147609842941
00100,0.0,0.0,2765,28822,0.30013477499596775
00102,0.0,0.0,12465,5187,0.29912546498235315
00103,0.0,0.0,4635,84,0.30220284999813884
00104,0.0,0.0,350,4504,0.30394805199466646
00105,0.0,0.0,4440,26757,0.31295553100062534
00106,0.0,0.0,253,67485,0.3042264860123396
00107,0.0,0.0,4037,3673,0.24588163796579465
00108,0.0,0.0,675,47373,0.29705590999219567
00109,0.0,0.0,3578,5472,0.2838310850202106
00110,0.0,0.0,10608,8166,0.28735831199446693
00111,0.0,0.0,4257,614,0.2941529880044982
00112,0.0,0.0,900,1469,0.2911415270064026
00114,0.0,0.0,1023,35,0.30596220202278346
00115,0.0,0.0,1024,218,0.10708883201004937
00116,0.0,0.0,178,66103,0.30330110702198
00117,0.0,0.0,3698,62831,0.2927265089820139
00118,0.0,0.0,9418,4153,0.2999202639912255
00119,0.0,0.0,2119,0,0.0038667780463583767
00120,0.0,0.0,2615,60,0.29469792696181685
00121,0.0,0.0,23,71643,0.2905965629615821
00122,0.0005393452348848498,0.0010781089968195784,2011,16540,0.2961076779756695
00123,0.0,0.0,1446,57789,0.2965824590064585
00124,0.0019720563338356495,0.003936349963793008,212,107502,0.2912369670229964
00125,0.0,0.0,7397,26646,0.29094386397628114
00126,0.0,0.0,67,0,0.003577967989258468
00127,0.0,0.0,637,54,0.2876892929780297
00128,0.0,0.0,2383,11,0.11149861302692443
00129,0.0,0.0,618,0,0.003746743022929877
00130,0.0,0.0,3136,13333,0.28961673501180485
00131,0.0,0.0,1160,3047,0.2889726519933902
00132,0.0,0.0,494,0,0.00392358103999868
00133,0.0,0.0,3497,4649,0.2832628130563535
00134,0.0,0.0,3884,10261,0.292168929008767
00135,0.0,0.0,3230,3122,0.299870099988766
00136,0.0,0.0,920,964,0.09684926096815616
00137,0.009125980005807442,0.018086899329962592,1367,22960,0.2910191339906305
00139,0.0,0.0,2550,233,0.19262178003555164
00140,0.0,0.0,7386,41840,0.2974746850086376
00141,0.0,0.0,119,720,0.39303922199178487
00142,0.0,0.0,3405,10408,0.2848265200154856
00144,0.0,0.0,1620,0,0.0039391760365106165
00145,0.0,0.0,25,2505,0.2789052260341123
00146,0.0012175557210794706,0.0024321501638124667,85,69812,0.2874306479934603
00147,0.0,0.0,953,0,0.003794447984546423
00148,0.0,0.0,22,29300,0.3121913929935545
00149,0.0,0.0,5044,0,0.003812060982454568
00151,0.013560695803977804,0.026758527358287456,2173,127879,0.28620230697561055
00152,0.0,0.0,485,26416,0.2982895519817248
00153,0.0,0.0,495,0,0.00394050101749599
00154,0.0,0.0,2205,223,0.0847021610243246
00155,0.0,0.0,3599,6342,0.2952936979709193
00156,0.0,0.0,901,0,0.004393300041556358
00158,0.0,0.0,3822,21002,0.2929885609773919
00159,0.0,0.0,48,41593,0.29472120600985363
00160,0.0,0.0,21,12215,0.2928030790062621
00161,0.0,0.0,9126,0,0.003886885999236256
00162,0.0,0.0,1117,0,0.0031859439914114773
00163,0.0,0.0,2163,15038,0.2995061120018363
00164,0.0,0.0,8959,17819,0.28939971094951034
00165,0.0,0.0,83,0,0.003909665974788368
00166,0.0,0.0,919,0,0.0031823869794607162
00167,0.0,0.0,26,0,0.0034001330495812
00168,0.0,0.0,9090,0,0.00424980599200353
00169,0.0,0.0,479,35,0.2830771040171385
00170,0.0,0.0,6403,1194,0.29475891595939174
00171,0.0,0.0,236,30083,0.29216488398378715
00172,0.0,0.0,1072,0,0.0037586039979942143
00173,0.0,0.0,4117,50,0.1133663909859024
00175,0.0,0.0,438,15554,0.30367547197965905
00176,0.0,0.0,1126,0,0.0045813319738954306
00177,0.0,0.0,1493,0,0.0035040240036323667
00178,0.0,0.0,2563,76806,0.29712561500491574
00179,0.0,0.0,657,0,0.003763802000321448
00180,0.0,0.0,3097,577,0.13432823005132377
00181,0.0,0.0,2279,37079,0.3002223279909231
00182,0.0,0.0,2861,37,0.2628245069645345
00183,0.0,0.0,8158,14068,0.29597648297203705
00184,0.0,0.0,3587,850,0.2605863400385715
00185,0.0,0.0,2506,53,0.06823842896847054
00186,0.0,0.0,1191,0,0.003793175972532481
