frame,iou,dice,gt_px,pred_px,latency_s
00001,0.1369525996391668,0.24091171379111367,5452,1480,0.296593388018664
00002,0.09324124321657622,0.17057761732851986,1993,223,0.17895784601569176
00003,0.058823529411764705,0.1111111111111111,224,28,0.14520191500196233
00004,0.11071428571428571,0.19935691318327975,2157,331,0.29979167896090075
00005,0.2471213463241807,0.3963068181818182,880,528,0.29579516797093675
00006,0.0024875621890547263,0.004962779156327543,354,49,0.3007534979842603
00007,0.34839357429718876,0.5167535368577811,2727,1302,0.23116343503352255
00008,0.04522613065326633,0.08653846153846154,1561,103,0.29658470599679276
00009,0.297196261682243,0.45821325648414984,1511,571,0.07949119596742094
00010,0.0,0.0,25,57,0.30215314496308565
00011,0.7531645569620253,0.8592057761732852,120,157,0.04696284304372966
00012,0.0,0.0,263,18,0.29134078399511054
00013,0.04948434955672155,0.09430221532626498,10810,791,0.2772076989640482
00014,0.11939594148183105,0.2133220910623946,2047,325,0.03757904900703579
00015,0.3340952380952381,0.500856653340948,2267,1235,0.174834668985568
00016,0.1763938315539739,0.29988907935867704,8065,1852,0.17492766602663323
00018,0.27950075642965205,0.43689033402305644,2475,908,0.09228133503347635
00019,0.12603047714214338,0.22384914032168607,5591,3424,0.29349569499026984
00020,0.04400440044004401,0.08429926238145416,1795,103,0.2963391909725033
00021,0.0,0.0,25,3,0.14161997399060056
00022,0.2718408736349454,0.427476234283962,2384,877,0.06807981501333416
00023,0.0,0.0,756,4,0.29341309098526835
00024,0.14603250478011473,0.2548488008342023,3563,1232,0.2931469670147635
00025,0.27041742286751363,0.4257142857142857,499,201,0.03783993097022176
00026,0.04392764857881137,0.08415841584158416,342,62,0.06821239396231249
00027,0.4123134328358209,0.583883751651255,1482,789,0.28889031999278814
00028,0.01020408163265306,0.020202020202020204,69,30,0.30022818205179647
00029,0.45161290322580644,0.6222222222222222,294,201,0.03765956702409312
00030,0.014964788732394365,0.029488291413703384,1098,55,0.29675530799431726
00031,0.23023715415019763,0.3742971887550201,939,306,0.06618779798736796
00032,0.3085531574740208,0.4715943799633476,1139,498,0.2845233010011725
00033,0.477124183006536,0.6460176991150443,135,91,0.03792623296612874
00034,0.0,0.0,65,26,0.2999379099928774
00035,0.23556942277691106,0.3813131313131313,1572,804,0.3004566779709421
00036,0.2326149945671858,0.37743333578197313,10692,2921,0.09616563201416284
00037,0.02707509881422925,0.052722724648835866,5052,145,0.297388042032253
00038,0.2837696335078534,0.44208809135399674,1804,648,0.21763295901473612
00039,0.2949072246348204,0.4554878048780488,1748,1532,0.30892073799623176
00040,0.12905405405405404,0.22860562537402754,2838,504,0.06474116601748392
00041,0.0,0.0,1189,107,0.1702358080074191
00042,0.1141511549674815,0.20491143317230273,8647,1289,0.3001576969982125
00043,0.3944543828264758,0.5657472738935215,982,577,0.03756237303605303
00045,0.011111111111111112,0.02197802197802198,355,9,0.20616456802235916
00046,0.4264264264264264,0.5978947368421053,284,191,0.03732906701043248
00047,0.2290249433106576,0.3726937269372694,3075,2345,0.29933750099735335
00048,0.17592592592592593,0.2992125984251969,1984,1191,0.2899715350358747
00049,0.0011273957158962795,0.0022522522522522522,866,22,0.2967276719864458
00050,0.21820862513822337,0.3582450832072617,1720,1585,0.20555042399792
00051,0.3563623545999295,0.5254677754677755,2680,1168,0.301436070993077
00052,0.367953839325344,0.5379623621025308,3103,3061,0.3037694030208513
00053,0.5861244019138756,0.7390648567119156,356,307,0.037767672969494015
00054,0.0,0.0,57,22,0.0673469559988007
00055,0.02237926972909305,0.04377880184331797,826,42,0.29570714302826673
00056,0.1374941342092914,0.24174917491749176,3940,908,0.2958261410240084
